"","ID","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_occ","hd_ind","hd_wtr_unemployed","wtr_wf","hd_employ_status","wf_occ","wf_ind","hd_hrs_work_per_week","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"3513",3513,1,1218,23,0,934,2015,70,1,67,0,0,1,2,722,887,5,1,4,0,0,0,5,15,6,12000,0,2,186,8,2,180,6,1,1,1,2,8,1,1,5,0,8,12,14,1
"3514",3514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3515",3515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3516",3516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3517",3517,1,7425,23,9,934,2015,42,1,35,2,15,1,3,980,987,5,1,1,210,727,0,5,10,25,85000,39000,1,195,9,1,99,4,1,1,1,5,1,1,1,1,4,8,16,17,8
"3518",3518,1,4495,23,0,934,2015,41,1,42,2,13,1,1,11,819,5,1,1,305,819,0,5,8,0,115000,108000,1,155,11,3,140,2,1,1,1,5,8,1,1,1,4,8,16,17,1
"3519",3519,1,7172,23,0,934,2015,37,1,38,2,3,1,2,620,77,5,1,1,313,819,0,5,10,2,50843,50624,2,245,0,2,170,2,1,1,1,4,8,1,1,1,2,8,14,16,1
"3520",3520,1,6141,23,1,934,2015,41,1,42,0,0,1,2,101,818,5,1,1,331,798,0,5,10,8,60000,43000,3,216,10,2,140,1,1,1,1,4,8,1,1,1,3,8,15,16,1
"3521",3521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3522",3522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3523",3523,1,134,23,1,935,2015,50,2,0,0,0,4,2,340,818,5,3,0,0,0,0,0,0,4,60000,0,1,150,2,0,0,0,0,0,0,0,0,1,1,1,2,8,14,0,2
"3524",3524,1,7229,23,0,935,2015,26,2,0,1,5,2,3,254,786,5,3,0,0,0,0,0,0,7,16300,0,2,150,5,0,0,0,0,0,0,0,0,1,1,1,2,8,14,0,2
"3525",3525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
