"","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_occ","hd_ind","hd_wtr_unemployed","wtr_wf","hd_employ_status","wf_occ","wf_ind","hd_hrs_work_per_week","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"39",1,7098,41,8,5,2015,20,1,0,0,0,2,3,425,777,1,2,0,0,0,0,0,0,10,4000,0,3,220,7,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,8,1828.69010575245
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1,587,41,1,5,2015,59,1,49,0,0,3,2,913,779,5,1,5,0,0,0,5,30,4,31000,0,2,184,1,4,380,0,1,1,5,0,8,1,3,5,0,8,10,12,1,14172.3483195815
"47",1,2571,41,4,5,2015,37,1,30,1,6,2,3,814,57,5,1,1,341,507,0,5,8,2,50000,30000,3,150,10,3,130,7,1,1,1,0,8,1,1,5,0,8,12,12,5,22858.6263219056
"48",1,987,41,4,5,2015,64,1,69,0,0,4,3,0,0,5,1,4,0,0,0,5,12,1,0,0,5,250,0,5,188,7,1,3,5,0,8,1,3,5,0,8,9,10,5,0
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1,1989,12,0,6,2015,93,2,0,0,0,3,8,0,0,5,3,0,0,0,0,0,0,0,0,0,8,998,4,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,2,0
"51",1,3220,24,0,6,2015,60,1,59,0,0,1,1,43,219,5,1,1,492,707,0,5,25,7,160000,0,2,225,3,2,150,4,1,1,1,4,8,1,1,1,5,8,17,16,1,73147.604230098
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1,7525,9,1,6,2015,34,1,32,3,1,1,1,980,968,5,1,2,142,729,0,5,30,30,115000,14000,1,220,1,1,180,11,1,1,1,4,1,1,1,1,5,8,17,16,1,52574.8405403829
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1,2679,26,0,6,2015,30,1,0,0,0,2,2,325,18,5,2,0,0,0,0,0,0,1,110000,0,2,200,2,0,0,0,0,0,0,0,0,1,1,1,5,8,17,0,2,50288.9779081924
"57",1,3130,12,0,6,2015,70,1,66,0,0,1,3,624,477,5,1,1,883,507,0,5,4,4,15000,9999999,4,225,10,3,999,6,1,1,1,1,8,1,3,5,0,0,11,13,1,6857.58789657168
"58",1,2184,12,0,6,2015,41,1,42,3,8,1,2,12,229,5,1,1,313,819,0,5,14,4,140120,96000,1,160,10,1,135,6,1,1,1,4,0,1,1,1,4,0,16,16,1,64059.0144045083
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1,48,34,0,7,2015,60,1,0,0,0,5,3,0,0,5,2,0,0,0,0,0,0,30,0,0,5,259,4,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,2,0
